datetime,region,respiratory_illness_cases,hospital_admissions
2020-06-24 16:00:00,Sharjah,46,26
2022-10-17 14:00:00,Abu Dhabi,71,25
2022-11-08 17:00:00,Fujairah,65,18
2023-04-01 11:00:00,Fujairah,10,44
2023-02-22 13:00:00,Fujairah,12,23
2021-06-29 09:00:00,Abu Dhabi,60,16
2021-05-16 04:00:00,Fujairah,18,5
2020-05-03 13:00:00,Sharjah,31,2
2022-09-30 05:00:00,Abu Dhabi,5,39
2022-03-10 22:00:00,Abu Dhabi,91,0
2020-02-09 05:00:00,Ajman,33,39
2020-11-10 02:00:00,Ajman,31,40
2023-05-10 13:00:00,Fujairah,63,2
2020-04-25 12:00:00,Abu Dhabi,67,45
2020-03-07 23:00:00,Ajman,99,21
2020-11-18 11:00:00,Abu Dhabi,88,44
2021-12-17 12:00:00,Abu Dhabi,93,10
2022-08-31 23:00:00,Ajman,3,12
2022-07-12 09:00:00,Dubai,55,28
2022-07-15 11:00:00,Abu Dhabi,87,47
2020-10-09 22:00:00,Sharjah,30,15
2022-04-12 16:00:00,Sharjah,18,9
2020-06-11 04:00:00,Dubai,3,24
2020-11-18 17:00:00,Fujairah,3,19
2021-11-13 17:00:00,Abu Dhabi,34,28
2020-05-05 17:00:00,Dubai,0,12
2022-12-10 21:00:00,Ajman,84,16
2021-11-23 23:00:00,Sharjah,71,25
2022-01-19 11:00:00,Abu Dhabi,57,18
2021-11-30 15:00:00,Ajman,94,5
2023-04-29 00:00:00,Abu Dhabi,17,41
2020-10-11 03:00:00,Abu Dhabi,1,24
2020-10-04 02:00:00,Dubai,39,7
2021-02-21 17:00:00,Dubai,40,16
2022-09-22 21:00:00,Dubai,67,38
2021-05-23 09:00:00,Sharjah,1,40
2023-02-08 22:00:00,Ajman,36,41
2022-12-07 15:00:00,Abu Dhabi,19,33
2022-07-20 18:00:00,Ajman,89,7
2023-04-07 00:00:00,Ajman,79,4
2020-08-02 05:00:00,Abu Dhabi,41,31
2021-09-03 12:00:00,Ajman,23,33
2023-02-28 16:00:00,Ajman,27,42
2021-03-19 15:00:00,Sharjah,47,29
2022-11-07 10:00:00,Fujairah,75,18
2021-07-17 01:00:00,Ajman,66,18
2021-12-02 20:00:00,Ajman,18,32
2023-05-10 16:00:00,Ajman,84,38
2023-01-03 14:00:00,Fujairah,73,49
2022-04-13 01:00:00,Dubai,46,23
2020-11-13 19:00:00,Dubai,77,24
2022-05-22 08:00:00,Sharjah,14,48
2022-09-03 14:00:00,Abu Dhabi,89,36
2020-06-29 11:00:00,Fujairah,84,37
2021-02-17 19:00:00,Dubai,17,3
2020-02-24 21:00:00,Ajman,38,29
2020-09-10 17:00:00,Sharjah,58,45
2020-08-15 03:00:00,Ajman,39,1
2021-03-19 02:00:00,Fujairah,25,2
2023-01-02 09:00:00,Ajman,32,43
2021-02-28 22:00:00,Dubai,30,33
2021-01-09 06:00:00,Ajman,73,12
2023-03-16 23:00:00,Fujairah,51,9
2022-07-21 21:00:00,Sharjah,54,4
2020-05-01 15:00:00,Sharjah,64,47
2021-04-16 17:00:00,Fujairah,8,28
2020-02-18 23:00:00,Fujairah,66,5
2022-10-18 14:00:00,Abu Dhabi,43,13
2021-02-05 06:00:00,Ajman,77,23
2020-10-24 18:00:00,Fujairah,55,1
2021-11-14 04:00:00,Fujairah,2,29
2022-07-10 13:00:00,Dubai,46,15
2022-10-18 15:00:00,Fujairah,28,25
2021-12-24 18:00:00,Dubai,65,37
2020-08-10 14:00:00,Ajman,9,38
2020-11-27 22:00:00,Ajman,0,42
2021-11-14 13:00:00,Fujairah,62,9
2022-03-01 10:00:00,Abu Dhabi,59,41
2022-02-16 20:00:00,Dubai,25,5
2020-06-19 22:00:00,Abu Dhabi,65,16
2022-08-15 01:00:00,Fujairah,89,19
2022-10-14 02:00:00,Dubai,77,34
2021-01-02 12:00:00,Sharjah,12,0
2021-07-15 19:00:00,Abu Dhabi,29,29
2023-05-19 19:00:00,Dubai,97,2
2022-10-10 08:00:00,Dubai,25,49
2021-11-25 11:00:00,Dubai,47,19
2021-12-31 08:00:00,Fujairah,81,0
2022-08-22 08:00:00,Abu Dhabi,2,17
2021-12-10 04:00:00,Dubai,2,2
2020-05-26 07:00:00,Dubai,69,23
2023-02-01 13:00:00,Dubai,23,16
2022-02-03 18:00:00,Dubai,48,10
2021-11-22 08:00:00,Fujairah,24,26
2020-09-22 06:00:00,Abu Dhabi,70,43
2022-08-19 22:00:00,Fujairah,17,46
2020-11-09 04:00:00,Fujairah,28,13
2020-06-19 06:00:00,Abu Dhabi,42,18
2023-02-19 12:00:00,Fujairah,59,44
2023-03-30 07:00:00,Abu Dhabi,82,20
2022-04-26 20:00:00,Fujairah,40,34
2021-04-25 16:00:00,Sharjah,87,48
2020-10-26 02:00:00,Dubai,3,35
2022-07-31 17:00:00,Dubai,77,40
2020-02-21 03:00:00,Abu Dhabi,47,37
2021-12-14 06:00:00,Abu Dhabi,55,9
2023-01-22 07:00:00,Sharjah,99,4
2023-02-10 22:00:00,Sharjah,89,47
2020-11-28 15:00:00,Ajman,27,17
2020-02-21 14:00:00,Sharjah,21,15
2020-12-03 11:00:00,Abu Dhabi,0,0
2021-05-13 22:00:00,Ajman,24,24
2022-04-17 09:00:00,Ajman,94,5
2020-09-19 12:00:00,Abu Dhabi,32,35
2023-04-07 09:00:00,Fujairah,2,27
2021-08-19 11:00:00,Sharjah,44,24
2021-08-22 20:00:00,Ajman,92,35
2021-10-21 14:00:00,Sharjah,53,4
2022-01-09 09:00:00,Ajman,30,9
2021-02-22 06:00:00,Dubai,49,23
2020-11-21 22:00:00,Ajman,20,4
2022-01-15 18:00:00,Ajman,73,7
2023-03-04 02:00:00,Fujairah,77,22
2022-08-30 14:00:00,Abu Dhabi,27,12
2020-12-19 04:00:00,Dubai,93,37
2021-03-02 01:00:00,Fujairah,30,0
2021-10-14 06:00:00,Dubai,20,21
2021-05-28 19:00:00,Abu Dhabi,27,5
2023-05-22 06:00:00,Sharjah,29,36
2023-03-17 16:00:00,Ajman,26,33
2021-03-25 14:00:00,Fujairah,18,20
2020-11-03 18:00:00,Abu Dhabi,2,43
2021-03-16 09:00:00,Dubai,58,17
2020-10-20 01:00:00,Dubai,10,45
2021-10-05 06:00:00,Abu Dhabi,67,13
2022-01-23 17:00:00,Sharjah,27,17
2021-08-09 12:00:00,Abu Dhabi,93,8
2020-07-18 01:00:00,Ajman,58,22
2021-07-03 14:00:00,Sharjah,20,48
2020-04-20 21:00:00,Fujairah,66,47
2020-08-02 20:00:00,Dubai,38,23
2022-10-23 04:00:00,Ajman,83,10
2021-08-16 02:00:00,Abu Dhabi,33,1
2020-03-02 03:00:00,Abu Dhabi,27,36
2021-08-26 12:00:00,Abu Dhabi,72,25
2023-01-26 04:00:00,Abu Dhabi,72,10
2022-05-21 06:00:00,Sharjah,8,39
2023-02-04 18:00:00,Ajman,53,4
2020-11-01 19:00:00,Ajman,66,28
2020-07-14 22:00:00,Abu Dhabi,59,36
2021-12-27 14:00:00,Abu Dhabi,68,18
2022-10-02 14:00:00,Ajman,90,48
2021-06-03 11:00:00,Abu Dhabi,30,43
2020-12-22 04:00:00,Abu Dhabi,29,48
2021-02-23 07:00:00,Sharjah,38,24
2021-05-17 17:00:00,Dubai,59,21
2022-12-26 04:00:00,Abu Dhabi,95,11
2021-05-16 08:00:00,Sharjah,41,3
2023-01-24 11:00:00,Fujairah,11,18
2021-01-26 08:00:00,Ajman,81,29
2023-01-27 18:00:00,Fujairah,80,25
2022-06-01 18:00:00,Dubai,90,33
2022-07-09 16:00:00,Fujairah,64,28
2022-07-29 20:00:00,Dubai,72,26
2020-02-15 22:00:00,Abu Dhabi,19,15
2021-02-10 21:00:00,Fujairah,55,13
2021-11-07 01:00:00,Abu Dhabi,36,35
2021-08-29 19:00:00,Abu Dhabi,39,8
2021-11-27 15:00:00,Fujairah,42,32
2023-01-29 06:00:00,Abu Dhabi,67,21
2020-05-18 18:00:00,Ajman,0,23
2020-06-06 12:00:00,Sharjah,36,25
2023-02-05 08:00:00,Fujairah,66,42
2020-08-03 04:00:00,Abu Dhabi,86,34
2023-05-16 03:00:00,Ajman,87,2
2021-12-14 18:00:00,Abu Dhabi,34,26
2020-12-06 19:00:00,Fujairah,98,24
2023-03-27 16:00:00,Fujairah,59,16
2021-05-25 03:00:00,Ajman,27,45
2020-01-12 11:00:00,Dubai,57,37
2021-08-23 16:00:00,Dubai,65,1
2022-07-03 16:00:00,Fujairah,85,1
2022-12-26 16:00:00,Abu Dhabi,66,31
2020-09-14 06:00:00,Abu Dhabi,33,42
2021-10-22 00:00:00,Ajman,40,23
2020-08-15 04:00:00,Sharjah,40,46
2021-05-08 15:00:00,Sharjah,21,11
2022-12-19 20:00:00,Sharjah,1,42
2023-03-16 15:00:00,Ajman,31,11
2020-06-04 04:00:00,Abu Dhabi,26,1
2022-04-04 12:00:00,Fujairah,85,34
2022-08-27 17:00:00,Dubai,65,45
2022-10-26 04:00:00,Dubai,2,41
2022-01-15 22:00:00,Fujairah,88,34
2021-08-12 12:00:00,Ajman,5,2
2020-10-17 17:00:00,Sharjah,89,30
2020-05-08 11:00:00,Fujairah,90,33
2021-06-10 15:00:00,Fujairah,68,44
2020-12-20 15:00:00,Dubai,0,34
2020-02-02 00:00:00,Abu Dhabi,59,5
2022-04-24 18:00:00,Ajman,45,8
2021-01-03 13:00:00,Abu Dhabi,1,21
2023-01-09 08:00:00,Dubai,50,29
2022-09-30 19:00:00,Abu Dhabi,17,6
2023-02-03 18:00:00,Dubai,23,22
2020-07-14 14:00:00,Sharjah,70,31
2022-05-25 02:00:00,Fujairah,14,19
2022-08-31 07:00:00,Abu Dhabi,29,47
2023-01-07 07:00:00,Ajman,73,39
2023-04-30 00:00:00,Fujairah,25,19
2021-10-30 01:00:00,Ajman,64,25
2021-08-17 17:00:00,Fujairah,55,36
2020-10-24 04:00:00,Abu Dhabi,34,31
2023-03-15 19:00:00,Ajman,60,30
2021-04-11 06:00:00,Sharjah,5,2
2021-09-25 01:00:00,Sharjah,78,26
2022-02-03 11:00:00,Dubai,56,4
2022-05-14 06:00:00,Dubai,63,16
2023-04-02 19:00:00,Dubai,46,0
2021-11-14 17:00:00,Fujairah,62,35
2020-07-27 16:00:00,Sharjah,72,35
2023-02-28 07:00:00,Ajman,57,28
2022-07-30 15:00:00,Fujairah,24,45
2021-08-31 16:00:00,Dubai,64,49
2021-03-13 21:00:00,Ajman,95,48
2020-03-30 18:00:00,Sharjah,16,39
2022-12-24 14:00:00,Fujairah,80,17
2020-12-04 00:00:00,Dubai,57,7
2022-05-17 18:00:00,Dubai,93,15
2020-06-19 21:00:00,Ajman,16,32
2023-02-12 17:00:00,Abu Dhabi,35,11
2022-02-02 00:00:00,Sharjah,44,26
2020-06-22 11:00:00,Sharjah,28,32
2020-02-18 07:00:00,Dubai,79,23
2021-02-23 03:00:00,Dubai,39,12
2021-10-19 03:00:00,Ajman,76,45
2022-10-06 13:00:00,Fujairah,6,26
2021-04-20 01:00:00,Abu Dhabi,11,14
2022-07-08 07:00:00,Abu Dhabi,24,42
2021-04-29 08:00:00,Sharjah,0,35
2022-11-18 05:00:00,Sharjah,96,18
2020-09-04 20:00:00,Abu Dhabi,19,5
2020-08-11 17:00:00,Fujairah,55,17
2022-01-25 01:00:00,Ajman,13,3
2022-12-14 18:00:00,Ajman,57,14
2020-05-09 17:00:00,Dubai,78,26
2022-09-01 02:00:00,Fujairah,91,32
2020-08-25 13:00:00,Dubai,22,40
2020-11-09 06:00:00,Ajman,43,15
2023-04-19 22:00:00,Abu Dhabi,0,24
2021-12-08 09:00:00,Dubai,43,29
2020-07-10 00:00:00,Sharjah,35,33
2022-09-13 03:00:00,Sharjah,53,25
2021-10-15 12:00:00,Ajman,37,9
2023-02-02 06:00:00,Sharjah,96,27
2020-06-23 15:00:00,Sharjah,49,3
2023-06-02 23:00:00,Sharjah,31,43
2021-11-09 18:00:00,Abu Dhabi,62,15
2020-04-10 05:00:00,Fujairah,80,27
2021-01-10 00:00:00,Dubai,49,27
2022-12-25 01:00:00,Abu Dhabi,60,29
2021-02-21 09:00:00,Fujairah,78,0
2021-10-26 17:00:00,Sharjah,92,21
2022-06-20 19:00:00,Abu Dhabi,2,20
2021-06-20 17:00:00,Ajman,7,7
2020-10-22 16:00:00,Ajman,33,49
2021-01-02 14:00:00,Fujairah,58,32
2022-05-25 22:00:00,Ajman,69,21
2021-02-10 04:00:00,Sharjah,99,36
2020-12-14 20:00:00,Dubai,15,41
2021-05-30 12:00:00,Ajman,51,20
2022-09-24 21:00:00,Abu Dhabi,20,34
2020-12-20 06:00:00,Dubai,50,8
2022-04-24 03:00:00,Ajman,53,37
2021-08-06 05:00:00,Ajman,74,26
2021-11-04 09:00:00,Abu Dhabi,72,33
2022-11-14 15:00:00,Abu Dhabi,2,4
2022-12-29 01:00:00,Ajman,78,18
2020-11-05 09:00:00,Sharjah,51,18
2022-03-07 18:00:00,Sharjah,75,4
2021-03-02 14:00:00,Dubai,78,36
2021-01-16 00:00:00,Dubai,28,29
2020-05-18 07:00:00,Dubai,41,43
2021-03-01 04:00:00,Dubai,61,42
2022-04-02 11:00:00,Dubai,13,27
2020-08-02 07:00:00,Dubai,25,37
2021-04-28 16:00:00,Abu Dhabi,68,20
2021-03-19 11:00:00,Fujairah,49,29
2020-08-21 11:00:00,Dubai,77,23
2021-04-08 16:00:00,Ajman,87,31
2023-02-04 23:00:00,Ajman,22,11
2023-04-10 13:00:00,Abu Dhabi,51,47
2020-11-14 02:00:00,Sharjah,57,47
2023-04-21 14:00:00,Ajman,80,15
2020-05-01 18:00:00,Fujairah,91,29
2020-09-16 22:00:00,Abu Dhabi,67,40
2020-01-02 13:00:00,Fujairah,92,16
2021-11-09 19:00:00,Fujairah,92,38
2020-05-20 10:00:00,Dubai,12,30
2021-05-27 04:00:00,Fujairah,38,32
2021-03-28 18:00:00,Fujairah,37,10
2023-01-06 19:00:00,Fujairah,33,45
2020-03-24 08:00:00,Sharjah,26,19
2022-12-11 02:00:00,Abu Dhabi,48,38
2022-11-05 05:00:00,Fujairah,9,2
2022-04-29 01:00:00,Abu Dhabi,61,49
2023-02-10 07:00:00,Sharjah,4,11
2020-06-10 07:00:00,Sharjah,60,47
2021-07-29 04:00:00,Ajman,18,45
2021-10-28 08:00:00,Sharjah,92,43
2020-04-30 17:00:00,Fujairah,60,11
2022-02-13 03:00:00,Abu Dhabi,73,20
2021-03-29 02:00:00,Dubai,86,5
2021-10-17 09:00:00,Fujairah,4,2
2022-11-07 19:00:00,Ajman,5,44
2020-02-22 22:00:00,Fujairah,59,23
2023-04-12 13:00:00,Abu Dhabi,56,48
2021-03-12 15:00:00,Sharjah,49,31
2022-10-28 11:00:00,Abu Dhabi,63,23
2021-08-05 20:00:00,Dubai,73,7
2021-10-26 01:00:00,Dubai,93,26
2020-03-31 08:00:00,Fujairah,0,41
2020-06-12 15:00:00,Ajman,67,4
2022-11-01 02:00:00,Sharjah,14,30
2022-04-26 04:00:00,Dubai,36,8
2021-03-19 09:00:00,Sharjah,92,34
2021-06-25 12:00:00,Fujairah,18,48
2022-04-06 17:00:00,Dubai,49,35
2022-10-03 00:00:00,Fujairah,12,31
2021-07-07 08:00:00,Ajman,58,4
2020-02-13 20:00:00,Sharjah,68,49
2022-08-02 08:00:00,Ajman,44,37
2020-08-19 07:00:00,Sharjah,51,10
2022-01-01 18:00:00,Dubai,52,33
2023-03-29 10:00:00,Ajman,10,44
2022-05-31 10:00:00,Ajman,52,9
2020-11-15 03:00:00,Fujairah,26,26
2022-12-14 00:00:00,Abu Dhabi,3,7
2020-08-20 20:00:00,Sharjah,84,21
2021-05-26 12:00:00,Sharjah,6,36
2020-03-07 19:00:00,Abu Dhabi,86,11
2021-11-21 19:00:00,Fujairah,83,21
2022-11-13 16:00:00,Sharjah,67,23
2022-06-12 07:00:00,Fujairah,35,4
2022-01-30 10:00:00,Sharjah,42,13
2020-12-16 01:00:00,Ajman,14,41
2023-04-25 03:00:00,Dubai,42,34
2021-06-28 17:00:00,Dubai,10,8
2022-08-30 15:00:00,Abu Dhabi,27,43
2022-03-11 14:00:00,Abu Dhabi,31,17
2020-08-12 17:00:00,Ajman,48,31
2021-02-27 04:00:00,Dubai,68,13
2021-12-09 17:00:00,Ajman,39,1
2020-09-03 06:00:00,Sharjah,14,25
2020-10-14 04:00:00,Dubai,40,23
2022-01-08 16:00:00,Dubai,33,35
2020-07-12 05:00:00,Abu Dhabi,11,47
2020-03-17 23:00:00,Sharjah,29,38
2020-07-25 08:00:00,Abu Dhabi,75,30
2022-08-01 19:00:00,Dubai,16,49
2021-11-29 03:00:00,Sharjah,70,47
2023-02-07 11:00:00,Dubai,84,41
2020-06-24 13:00:00,Sharjah,29,32
2020-01-13 10:00:00,Abu Dhabi,35,45
2022-09-03 12:00:00,Fujairah,57,45
2020-11-05 16:00:00,Sharjah,37,49
2022-11-29 09:00:00,Dubai,85,36
2022-07-05 11:00:00,Dubai,43,4
2020-05-09 17:00:00,Abu Dhabi,99,27
2023-02-17 14:00:00,Fujairah,3,7
2020-12-10 11:00:00,Sharjah,58,5
2020-06-11 04:00:00,Sharjah,55,42
2020-03-08 20:00:00,Abu Dhabi,30,28
2021-10-02 05:00:00,Ajman,23,29
2023-04-15 21:00:00,Sharjah,59,14
2022-06-05 06:00:00,Sharjah,53,34
2021-09-04 19:00:00,Dubai,58,8
2022-07-29 00:00:00,Fujairah,79,49
2023-01-13 04:00:00,Dubai,69,13
2020-01-28 00:00:00,Dubai,48,42
2020-09-15 19:00:00,Abu Dhabi,39,38
2023-04-06 23:00:00,Abu Dhabi,44,18
2021-02-11 01:00:00,Fujairah,40,21
2023-05-20 03:00:00,Fujairah,9,45
2022-04-27 11:00:00,Abu Dhabi,96,48
2020-07-08 14:00:00,Dubai,20,21
2021-12-24 15:00:00,Dubai,12,24
2022-06-03 00:00:00,Abu Dhabi,49,41
2021-04-13 19:00:00,Sharjah,29,3
2020-07-04 05:00:00,Dubai,28,27
2020-08-08 06:00:00,Ajman,24,14
2020-04-07 12:00:00,Fujairah,54,44
2020-09-24 19:00:00,Fujairah,28,29
2022-09-22 13:00:00,Abu Dhabi,88,29
2021-12-05 18:00:00,Fujairah,7,29
2022-12-24 00:00:00,Fujairah,4,30
2023-02-11 06:00:00,Fujairah,13,42
2022-07-26 06:00:00,Sharjah,28,22
2020-09-28 14:00:00,Sharjah,71,32
2020-03-31 14:00:00,Sharjah,95,27
2021-03-24 03:00:00,Fujairah,81,12
2021-04-24 05:00:00,Ajman,58,29
2020-09-29 13:00:00,Sharjah,10,48
2020-08-29 13:00:00,Dubai,90,4
2022-04-24 17:00:00,Abu Dhabi,16,23
2022-11-16 02:00:00,Ajman,1,12
2022-09-27 05:00:00,Fujairah,35,44
2020-01-10 11:00:00,Ajman,66,21
2020-01-25 00:00:00,Dubai,86,7
2022-01-18 17:00:00,Dubai,53,28
2020-12-01 07:00:00,Abu Dhabi,21,25
2021-11-11 11:00:00,Fujairah,3,35
2022-10-14 15:00:00,Ajman,43,48
2020-04-24 07:00:00,Fujairah,84,17
2020-11-21 21:00:00,Abu Dhabi,38,28
2021-03-12 14:00:00,Ajman,96,46
2021-04-07 09:00:00,Abu Dhabi,65,10
2020-11-14 20:00:00,Abu Dhabi,96,23
2022-07-07 01:00:00,Dubai,27,35
2020-02-10 03:00:00,Dubai,4,2
2021-01-02 21:00:00,Sharjah,90,25
2020-08-22 13:00:00,Abu Dhabi,6,8
2020-09-02 12:00:00,Dubai,77,6
2023-03-28 07:00:00,Ajman,33,48
2021-11-27 12:00:00,Ajman,87,38
2021-09-15 20:00:00,Fujairah,98,44
2020-03-13 03:00:00,Dubai,6,25
2021-06-25 13:00:00,Abu Dhabi,5,5
2020-04-20 11:00:00,Ajman,33,24
2020-06-05 22:00:00,Ajman,6,42
2023-05-12 16:00:00,Ajman,58,21
2020-07-22 20:00:00,Ajman,13,37
2020-11-19 09:00:00,Ajman,35,36
2022-02-07 14:00:00,Sharjah,96,24
2022-10-19 21:00:00,Abu Dhabi,38,0
2023-05-21 18:00:00,Abu Dhabi,83,4
2021-10-18 21:00:00,Sharjah,15,44
2021-12-27 15:00:00,Abu Dhabi,0,6
2020-10-12 19:00:00,Fujairah,83,12
2023-02-18 01:00:00,Fujairah,15,18
2021-07-12 06:00:00,Ajman,13,10
2021-02-03 08:00:00,Abu Dhabi,8,45
2021-06-05 10:00:00,Ajman,39,8
2020-07-12 04:00:00,Ajman,33,22
2020-10-10 10:00:00,Fujairah,7,42
2021-09-04 19:00:00,Fujairah,46,14
2020-07-10 18:00:00,Fujairah,4,23
2020-10-16 11:00:00,Ajman,61,44
2022-03-22 17:00:00,Abu Dhabi,84,11
2021-06-25 04:00:00,Abu Dhabi,88,17
2023-01-25 16:00:00,Dubai,43,45
2020-06-30 10:00:00,Sharjah,21,42
2021-03-23 10:00:00,Sharjah,87,0
2022-07-18 04:00:00,Dubai,34,27
2020-05-24 09:00:00,Fujairah,67,42
2020-10-08 11:00:00,Dubai,90,21
2020-07-15 11:00:00,Abu Dhabi,30,11
2022-07-19 00:00:00,Abu Dhabi,79,45
2022-10-25 08:00:00,Ajman,58,5
2021-01-03 04:00:00,Abu Dhabi,10,28
2020-12-16 02:00:00,Abu Dhabi,35,34
2022-03-05 10:00:00,Sharjah,76,23
2022-05-25 04:00:00,Abu Dhabi,21,45
2021-12-25 21:00:00,Sharjah,44,44
2022-06-11 05:00:00,Fujairah,80,16
2023-04-14 03:00:00,Abu Dhabi,23,48
2021-05-10 03:00:00,Sharjah,14,20
2022-09-19 03:00:00,Sharjah,4,34
2022-12-26 01:00:00,Abu Dhabi,63,25
2021-02-15 17:00:00,Fujairah,57,30
2022-05-01 10:00:00,Ajman,44,49
2022-01-04 09:00:00,Sharjah,47,22
2020-11-27 14:00:00,Abu Dhabi,4,18
2020-07-09 02:00:00,Sharjah,95,20
2022-07-26 17:00:00,Ajman,15,16
2021-08-22 13:00:00,Fujairah,29,37
2022-05-04 17:00:00,Fujairah,9,10
2022-12-03 02:00:00,Ajman,83,24
2022-10-20 08:00:00,Fujairah,71,30
2021-05-28 07:00:00,Fujairah,33,16
2022-08-13 00:00:00,Fujairah,54,29
2023-05-17 07:00:00,Ajman,74,38
2022-01-09 18:00:00,Fujairah,98,9
2022-11-16 18:00:00,Fujairah,54,32
2020-03-03 05:00:00,Ajman,75,13
2020-05-21 18:00:00,Abu Dhabi,97,40
2021-08-14 10:00:00,Abu Dhabi,68,23
2020-06-24 00:00:00,Dubai,30,30
2020-09-14 04:00:00,Ajman,43,20
2022-06-22 21:00:00,Ajman,18,49
2020-01-29 19:00:00,Fujairah,98,4
2022-09-23 11:00:00,Fujairah,28,42
2022-09-11 03:00:00,Sharjah,35,25
2021-01-24 00:00:00,Ajman,7,22
2021-02-18 23:00:00,Sharjah,34,34
2021-08-13 23:00:00,Sharjah,76,34
2021-05-20 21:00:00,Abu Dhabi,76,39
2021-09-04 19:00:00,Abu Dhabi,94,33
2022-10-01 01:00:00,Ajman,8,16
2022-05-01 17:00:00,Ajman,25,3
2021-11-08 15:00:00,Fujairah,53,3
2020-02-16 18:00:00,Sharjah,88,6
2022-10-29 00:00:00,Abu Dhabi,68,0
2020-06-03 20:00:00,Sharjah,21,5
